taz,parkingType,pricingModel,chargingType,numStalls,feeInCents,ReservedFor
101157,Residential,Block,NoCharger,412,0.0,Any
100831,Residential,Block,NoCharger,139,0.0,Any
100831,Workplace,Block,NoCharger,17,0.0,Any
100692,Residential,Block,NoCharger,256,0.0,Any
100692,Workplace,Block,NoCharger,106,0.0,Any
201542,Public,Block,NoCharger,1000000,0.0,Any
201542,Residential,Block,NoCharger,465,0.0,Any
201542,Workplace,Block,NoCharger,1000000,0.0,Any
201552,Public,Block,NoCharger,1000000,0.0,Any
201552,Residential,Block,NoCharger,397,0.0,Any
201552,Workplace,Block,NoCharger,1000000,0.0,Any
100827,Residential,Block,NoCharger,456,0.0,Any
10001O,Public,Block,NoCharger,32,885.61682,Any
10001O,Public,Block,NoCharger,312,269.6431,Any
10001O,Residential,Block,NoCharger,8,0.0,Any
100511,Residential,Block,NoCharger,242,0.0,Any
10001L,Public,Block,NoCharger,34,885.61682,Any
10001L,Public,Block,NoCharger,230,269.6431,Any
10001L,Residential,Block,NoCharger,8,0.0,Any
10001N,Public,Block,NoCharger,41,885.61682,Any
10001N,Public,Block,NoCharger,150,269.6431,Any
10001N,Residential,Block,NoCharger,11,0.0,Any
100366,Residential,Block,NoCharger,388,0.0,Any
100212,Public,Block,NoCharger,85,130.0,Any
100212,Public,Block,NoCharger,122,95.0,Any
100212,Public,Block,NoCharger,50,0.0,Any
100212,Residential,Block,NoCharger,660,0.0,Any
100194,Public,Block,NoCharger,500,256.36072,Any
100194,Residential,Block,NoCharger,362,0.0,Any
10001V,Public,Block,NoCharger,40,716.27252,Any
10001V,Residential,Block,NoCharger,41,0.0,Any
10001P,Public,Block,NoCharger,3,885.61682,Any
10001P,Residential,Block,NoCharger,3,0.0,Any
10009E,Public,Block,NoCharger,39,981.7764300000001,Any
10009E,Public,Block,NoCharger,816,237.35252000000003,Any
10009E,Residential,Block,NoCharger,47,0.0,Any
10009A,Public,Block,NoCharger,110,981.7764300000001,Any
10009A,Public,Block,NoCharger,311,237.35252000000003,Any
10009A,Residential,Block,NoCharger,47,0.0,Any
10001R,Public,Block,NoCharger,34,716.27252,Any
10001R,Residential,Block,NoCharger,40,0.0,Any
100367,Public,Block,NoCharger,12,123.0,Any
100367,Residential,Block,NoCharger,409,0.0,Any
201414,Public,Block,NoCharger,1000000,0.0,Any
201414,Residential,Block,NoCharger,264,0.0,Any
201414,Workplace,Block,NoCharger,1000000,0.0,Any
10001C,Public,Block,NoCharger,23,885.61682,Any
10001C,Public,Block,NoCharger,500,269.6431,Any
10001C,Residential,Block,NoCharger,10,0.0,Any
201411,Public,Block,NoCharger,1000000,0.0,Any
201411,Residential,Block,NoCharger,1186,0.0,Any
201411,Workplace,Block,NoCharger,1000000,0.0,Any
100369,Public,Block,NoCharger,176,129.92776,Any
100369,Public,Block,NoCharger,606,0.0,Any
100369,Residential,Block,NoCharger,525,0.0,Any
100369,Workplace,Block,NoCharger,153,0.0,Any
10001E,Public,Block,NoCharger,24,885.61682,Any
10001E,Residential,Block,NoCharger,5,0.0,Any
10001D,Public,Block,NoCharger,13,885.61682,Any
10001D,Residential,Block,NoCharger,5,0.0,Any
100211,Public,Block,NoCharger,144,130.0,Any
100211,Public,Block,NoCharger,138,95.0,Any
100211,Residential,Block,NoCharger,627,0.0,Any
201292,Public,Block,NoCharger,1000000,0.0,Any
201292,Residential,Block,NoCharger,772,0.0,Any
201292,Workplace,Block,NoCharger,1000000,0.0,Any
201322,Public,Block,NoCharger,1000000,0.0,Any
201322,Residential,Block,NoCharger,868,0.0,Any
201322,Workplace,Block,NoCharger,1000000,0.0,Any
100097,Public,Block,NoCharger,80,981.7764300000001,Any
100097,Residential,Block,NoCharger,52,0.0,Any
100097,Workplace,Block,NoCharger,285,0.0,Any
100199,Public,Block,NoCharger,4,933.15295,Any
100199,Public,Block,NoCharger,405,256.36072,Any
100199,Residential,Block,NoCharger,570,0.0,Any
10009D,Public,Block,NoCharger,25,981.7764300000001,Any
10009D,Public,Block,NoCharger,210,237.35252000000003,Any
10009D,Residential,Block,NoCharger,44,0.0,Any
10001K,Public,Block,NoCharger,21,932.83514,Any
10001K,Residential,Block,NoCharger,5,0.0,Any
10001J,Public,Block,NoCharger,9,932.83514,Any
10001J,Public,Block,NoCharger,100,284.01965,Any
10001J,Residential,Block,NoCharger,2,0.0,Any
100095,Public,Block,NoCharger,48,1085.43726,Any
100095,Public,Block,NoCharger,219,262.41342000000003,Any
100095,Residential,Block,NoCharger,29,0.0,Any
10001S,Public,Block,NoCharger,29,716.27252,Any
10001S,Public,Block,NoCharger,700,218.08298,Any
10001S,Residential,Block,NoCharger,37,0.0,Any
10001U,Public,Block,NoCharger,46,716.27252,Any
10001U,Public,Block,NoCharger,83,0.0,Any
10001U,Residential,Block,NoCharger,40,0.0,Any
100092,Public,Block,NoCharger,35,1085.43726,Any
100092,Public,Block,NoCharger,285,262.41342000000003,Any
100092,Residential,Block,NoCharger,17,0.0,Any
100018,Public,Block,NoCharger,15,885.61682,Any
100018,Public,Block,NoCharger,96,269.6431,Any
100018,Residential,Block,NoCharger,3,0.0,Any
100353,Public,Block,NoCharger,15,102.0,Any
100353,Public,Block,NoCharger,155,75.0,Any
100353,Residential,Block,NoCharger,1073,0.0,Any
10001B,Public,Block,NoCharger,7,885.61682,Any
10001B,Public,Block,NoCharger,342,269.6431,Any
10001B,Residential,Block,NoCharger,4,0.0,Any
100015,Public,Block,NoCharger,22,885.61682,Any
100015,Public,Block,NoCharger,60,269.6431,Any
100015,Residential,Block,NoCharger,4,0.0,Any
10001I,Public,Block,NoCharger,17,932.83514,Any
10001I,Public,Block,NoCharger,410,284.01965,Any
10001I,Residential,Block,NoCharger,4,0.0,Any
201321,Public,Block,NoCharger,1000000,0.0,Any
201321,Residential,Block,NoCharger,465,0.0,Any
201321,Workplace,Block,NoCharger,1000000,0.0,Any
100096,Public,Block,NoCharger,131,1085.43726,Any
100096,Public,Block,NoCharger,11,262.41342000000003,Any
100096,Residential,Block,NoCharger,31,0.0,Any
100096,Workplace,Block,NoCharger,87,0.0,Any
407010,Public,Block,NoCharger,1000000,0.0,Any
407010,Residential,Block,NoCharger,1172,0.0,Any
407010,Workplace,Block,NoCharger,1000000,0.0,Any
10001F,Public,Block,NoCharger,33,885.61682,Any
10001F,Public,Block,NoCharger,180,269.6431,Any
10001F,Residential,Block,NoCharger,8,0.0,Any
100094,Public,Block,NoCharger,64,1085.43726,Any
100094,Public,Block,NoCharger,450,262.41342000000003,Any
100094,Residential,Block,NoCharger,28,0.0,Any
10001G,Public,Block,NoCharger,49,932.83514,Any
10001G,Public,Block,NoCharger,265,284.01965,Any
10001G,Residential,Block,NoCharger,5,0.0,Any
10036A,Public,Block,NoCharger,500,0.0,Any
10036A,Residential,Block,NoCharger,538,0.0,Any
10036A,Workplace,Block,NoCharger,20,0.0,Any
100364,Residential,Block,NoCharger,250,0.0,Any
10001H,Public,Block,NoCharger,21,932.83514,Any
10001H,Residential,Block,NoCharger,5,0.0,Any
100016,Public,Block,NoCharger,17,885.61682,Any
100016,Public,Block,NoCharger,201,269.6431,Any
100016,Residential,Block,NoCharger,4,0.0,Any
100192,Residential,Block,NoCharger,319,0.0,Any
201311,Public,Block,NoCharger,1000000,0.0,Any
201311,Residential,Block,NoCharger,593,0.0,Any
201311,Workplace,Block,NoCharger,1000000,0.0,Any
100013,Public,Block,NoCharger,19,932.83514,Any
100013,Residential,Block,NoCharger,2,0.0,Any
10017C,Public,Block,NoCharger,3,784.69391,Any
10017C,Residential,Block,NoCharger,15,0.0,Any
201291,Public,Block,NoCharger,1000000,0.0,Any
201291,Residential,Block,NoCharger,264,0.0,Any
201291,Workplace,Block,NoCharger,1000000,0.0,Any
100091,Public,Block,NoCharger,50,1085.43726,Any
100091,Residential,Block,NoCharger,28,0.0,Any
201284,Public,Block,NoCharger,1000000,0.0,Any
201284,Residential,Block,NoCharger,172,0.0,Any
201284,Workplace,Block,NoCharger,1000000,0.0,Any
10017D,Public,Block,NoCharger,9,784.69391,Any
10017D,Residential,Block,NoCharger,8,0.0,Any
100019,Public,Block,NoCharger,10,885.61682,Any
100019,Residential,Block,NoCharger,5,0.0,Any
100014,Public,Block,NoCharger,11,932.83514,Any
100014,Residential,Block,NoCharger,3,0.0,Any
100017,Public,Block,NoCharger,5,885.61682,Any
100017,Residential,Block,NoCharger,3,0.0,Any
10001A,Public,Block,NoCharger,19,885.61682,Any
10001A,Public,Block,NoCharger,220,269.6431,Any
10001A,Residential,Block,NoCharger,6,0.0,Any
10001A,Workplace,Block,NoCharger,50,0.0,Any
100352,Public,Block,NoCharger,45,102.0,Any
100352,Residential,Block,NoCharger,226,0.0,Any
100193,Public,Block,NoCharger,9,546.0,Any
100193,Public,Block,NoCharger,412,150.0,Any
100193,Residential,Block,NoCharger,664,0.0,Any
100223,Public,Block,NoCharger,157,143.75923,Any
100223,Public,Block,NoCharger,50,133.8934,Any
100223,Residential,Block,NoCharger,564,0.0,Any
100494,Public,Block,NoCharger,42,0.0,Any
100494,Residential,Block,NoCharger,289,0.0,Any
100561,Public,Block,NoCharger,1,111.0,Any
100561,Public,Block,NoCharger,118,0.0,Any
100561,Residential,Block,NoCharger,287,0.0,Any
100561,Workplace,Block,NoCharger,20,0.0,Any
100516,Public,Block,NoCharger,38,0.0,Any
100516,Public,Block,NoCharger,514,0.0,Any
100516,Public,Block,NoCharger,11,0.0,Any
100516,Residential,Block,NoCharger,247,0.0,Any
10002K,Public,Block,NoCharger,14,314.01431,Any
10002K,Residential,Block,NoCharger,12,0.0,Any
100575,Public,Block,NoCharger,102,191.25525,Any
100575,Public,Block,NoCharger,69,0.0,Any
100575,Residential,Block,NoCharger,344,0.0,Any
201335,Public,Block,NoCharger,1000000,0.0,Any
201335,Residential,Block,NoCharger,1530,0.0,Any
201335,Workplace,Block,NoCharger,1000000,0.0,Any
10002L,Public,Block,NoCharger,12,314.0,Any
10002L,Residential,Block,NoCharger,18,0.0,Any
10002L,Workplace,Block,NoCharger,12,0.0,Any
100513,Public,Block,NoCharger,94,0.0,Any
100513,Public,Block,NoCharger,24,0.0,Any
100513,Residential,Block,NoCharger,102,0.0,Any
100562,Public,Block,NoCharger,107,111.0,Any
100562,Public,Block,NoCharger,130,0.0,Any
100562,Public,Block,NoCharger,6,0.0,Any
100562,Residential,Block,NoCharger,424,0.0,Any
100562,Workplace,Block,NoCharger,54,0.0,Any
100202,Public,Block,NoCharger,148,166.41154,Any
100202,Public,Block,NoCharger,393,121.60843999999999,Any
100202,Public,Block,NoCharger,30,0.0,Any
100202,Residential,Block,NoCharger,762,0.0,Any
10002J,Public,Block,NoCharger,13,314.01431,Any
10002J,Residential,Block,NoCharger,12,0.0,Any
201332,Public,Block,NoCharger,1000000,0.0,Any
201332,Residential,Block,NoCharger,252,0.0,Any
201332,Workplace,Block,NoCharger,1000000,0.0,Any
10002G,Public,Block,NoCharger,22,314.01431,Any
10002G,Public,Block,NoCharger,985,191.0087,Any
10002G,Residential,Block,NoCharger,28,0.0,Any
100475,Residential,Block,NoCharger,295,0.0,Any
10002H,Public,Block,NoCharger,34,314.01431,Any
10002H,Residential,Block,NoCharger,15,0.0,Any
201283,Public,Block,NoCharger,1000000,0.0,Any
201283,Residential,Block,NoCharger,333,0.0,Any
201283,Workplace,Block,NoCharger,1000000,0.0,Any
100151,Public,Block,NoCharger,41,477.0,Any
100151,Residential,Block,NoCharger,326,0.0,Any
100151,Workplace,Block,NoCharger,68,0.0,Any
10002D,Public,Block,NoCharger,28,314.01431,Any
10002D,Residential,Block,NoCharger,14,0.0,Any
10009B,Public,Block,NoCharger,27,981.7764300000001,Any
10009B,Public,Block,NoCharger,200,237.35252000000003,Any
10009B,Residential,Block,NoCharger,19,0.0,Any
100574,Public,Block,NoCharger,19,191.25525,Any
100574,Public,Block,NoCharger,30,0.0,Any
100574,Residential,Block,NoCharger,619,0.0,Any
100196,Public,Block,NoCharger,126,546.0,Any
100196,Public,Block,NoCharger,330,150.0,Any
100196,Public,Block,NoCharger,21,0.0,Any
100196,Residential,Block,NoCharger,579,0.0,Any
100196,Workplace,Block,NoCharger,9,0.0,Any
100081,Public,Block,NoCharger,148,0.0,Any
100081,Public,Block,NoCharger,1042,0.0,Any
100491,Public,Block,NoCharger,139,0.0,Any
100491,Residential,Block,NoCharger,398,0.0,Any
100491,Workplace,Block,NoCharger,20,0.0,Any
10002E,Public,Block,NoCharger,24,314.01431,Any
10002E,Residential,Block,NoCharger,13,0.0,Any
100084,Public,Block,NoCharger,163,893.98761,Any
100084,Public,Block,NoCharger,1393,203.38792,Any
100084,Residential,Block,NoCharger,123,0.0,Any
100084,Workplace,Block,NoCharger,12,0.0,Any
100201,Public,Block,NoCharger,218,166.41154,Any
100201,Public,Block,NoCharger,328,121.60843999999999,Any
100201,Residential,Block,NoCharger,720,0.0,Any
10002F,Public,Block,NoCharger,27,314.01431,Any
10002F,Public,Block,NoCharger,300,0.0,Any
10002F,Residential,Block,NoCharger,27,0.0,Any
201314,Public,Block,NoCharger,1000000,0.0,Any
201314,Residential,Block,NoCharger,447,0.0,Any
201314,Workplace,Block,NoCharger,1000000,0.0,Any
100021,Public,Block,NoCharger,13,314.01431,Any
100021,Public,Block,NoCharger,430,191.0087,Any
100021,Public,Block,NoCharger,120,0.0,Any
100021,Residential,Block,NoCharger,23,0.0,Any
201371,Public,Block,NoCharger,1000000,0.0,Any
201371,Residential,Block,NoCharger,740,0.0,Any
201371,Workplace,Block,NoCharger,1000000,0.0,Any
100512,Public,Block,NoCharger,29,0.0,Any
100512,Residential,Block,NoCharger,261,0.0,Any
201373,Public,Block,NoCharger,1000000,0.0,Any
201373,Residential,Block,NoCharger,433,0.0,Any
201373,Workplace,Block,NoCharger,1000000,0.0,Any
100213,Public,Block,NoCharger,160,130.0,Any
100213,Public,Block,NoCharger,440,0.0,Any
100213,Residential,Block,NoCharger,442,0.0,Any
100029,Public,Block,NoCharger,22,314.0,Any
100029,Residential,Block,NoCharger,20,0.0,Any
201337,Public,Block,NoCharger,1000000,0.0,Any
201337,Residential,Block,NoCharger,277,0.0,Any
201337,Workplace,Block,NoCharger,1000000,0.0,Any
100571,Public,Block,NoCharger,164,123.0,Any
100571,Public,Block,NoCharger,117,0.0,Any
100571,Residential,Block,NoCharger,515,0.0,Any
100571,Workplace,Block,NoCharger,17,0.0,Any
100082,Public,Block,NoCharger,23,0.0,Any
100082,Public,Block,NoCharger,575,0.0,Any
201306,Public,Block,NoCharger,1000000,0.0,Any
201306,Residential,Block,NoCharger,329,0.0,Any
201306,Workplace,Block,NoCharger,1000000,0.0,Any
100022,Public,Block,NoCharger,22,314.01431,Any
100022,Public,Block,NoCharger,1865,191.0087,Any
100022,Residential,Block,NoCharger,21,0.0,Any
10009C,Public,Block,NoCharger,12,981.7764300000001,Any
10009C,Public,Block,NoCharger,110,237.35252000000003,Any
10009C,Residential,Block,NoCharger,28,0.0,Any
10002C,Public,Block,NoCharger,39,314.01431,Any
10002C,Public,Block,NoCharger,650,191.0087,Any
10002C,Residential,Block,NoCharger,27,0.0,Any
100103,Public,Block,NoCharger,275,532.0228900000001,Any
100103,Public,Block,NoCharger,982,164.00706,Any
100103,Public,Block,NoCharger,120,0.0,Any
100103,Residential,Block,NoCharger,1035,0.0,Any
100103,Workplace,Block,NoCharger,40,0.0,Any
10002B,Public,Block,NoCharger,26,314.0,Any
10002B,Public,Block,NoCharger,150,191.0,Any
10002B,Public,Block,NoCharger,40,0.0,Any
10002B,Residential,Block,NoCharger,13,0.0,Any
10002A,Public,Block,NoCharger,24,314.0,Any
10002A,Residential,Block,NoCharger,9,0.0,Any
201336,Public,Block,NoCharger,1000000,0.0,Any
201336,Residential,Block,NoCharger,28,0.0,Any
201336,Workplace,Block,NoCharger,1000000,0.0,Any
100573,Residential,Block,NoCharger,466,0.0,Any
100197,Public,Block,NoCharger,153,546.0,Any
100197,Public,Block,NoCharger,538,150.0,Any
100197,Residential,Block,NoCharger,610,0.0,Any
100514,Residential,Block,NoCharger,256,0.0,Any
100087,Public,Block,NoCharger,51,0.0,Any
100087,Public,Block,NoCharger,325,0.0,Any
201312,Public,Block,NoCharger,1000000,0.0,Any
201312,Residential,Block,NoCharger,198,0.0,Any
201312,Workplace,Block,NoCharger,1000000,0.0,Any
100099,Public,Block,NoCharger,33,981.7764300000001,Any
100099,Residential,Block,NoCharger,41,0.0,Any
100152,Public,Block,NoCharger,395,477.0,Any
100152,Public,Block,NoCharger,1621,109.0,Any
100152,Residential,Block,NoCharger,1791,0.0,Any
100152,Workplace,Block,NoCharger,29,0.0,Any
201315,Public,Block,NoCharger,1000000,0.0,Any
201315,Residential,Block,NoCharger,356,0.0,Any
201315,Workplace,Block,NoCharger,1000000,0.0,Any
100028,Public,Block,NoCharger,49,314.0,Any
100028,Residential,Block,NoCharger,16,0.0,Any
100027,Public,Block,NoCharger,43,314.0,Any
100027,Public,Block,NoCharger,86,191.0,Any
100027,Residential,Block,NoCharger,19,0.0,Any
100368,Residential,Block,NoCharger,392,0.0,Any
100198,Public,Block,NoCharger,36,933.15295,Any
100198,Public,Block,NoCharger,250,256.36072,Any
100198,Residential,Block,NoCharger,582,0.0,Any
100023,Public,Block,NoCharger,9,314.01431,Any
100023,Residential,Block,NoCharger,16,0.0,Any
100515,Residential,Block,NoCharger,134,0.0,Any
100024,Public,Block,NoCharger,14,314.01431,Any
100024,Residential,Block,NoCharger,7,0.0,Any
100436,Public,Block,NoCharger,31,0.0,Any
100436,Residential,Block,NoCharger,441,0.0,Any
100195,Residential,Block,NoCharger,359,0.0,Any
100025,Public,Block,NoCharger,12,314.0,Any
100025,Public,Block,NoCharger,215,191.0,Any
100025,Residential,Block,NoCharger,15,0.0,Any
100026,Public,Block,NoCharger,9,314.0,Any
100026,Residential,Block,NoCharger,5,0.0,Any
100044,Public,Block,NoCharger,145,529.59387,Any
100044,Public,Block,NoCharger,90,138.6747,Any
100044,Residential,Block,NoCharger,738,0.0,Any
100112,Public,Block,NoCharger,22,355.0,Any
100112,Residential,Block,NoCharger,316,0.0,Any
100591,Public,Block,NoCharger,200,0.0,Any
100591,Residential,Block,NoCharger,817,0.0,Any
100591,Workplace,Block,NoCharger,49,0.0,Any
100593,Public,Block,NoCharger,171,205.7924,Any
100593,Public,Block,NoCharger,41,0.0,Any
100593,Residential,Block,NoCharger,471,0.0,Any
100041,Public,Block,NoCharger,25,529.59387,Any
100041,Residential,Block,NoCharger,324,0.0,Any
201301,Public,Block,NoCharger,1000000,0.0,Any
201301,Residential,Block,NoCharger,1535,0.0,Any
201301,Workplace,Block,NoCharger,1000000,0.0,Any
100043,Public,Block,NoCharger,127,529.59387,Any
100043,Public,Block,NoCharger,559,138.6747,Any
100043,Residential,Block,NoCharger,399,0.0,Any
100055,Public,Block,NoCharger,236,299.21539,Any
100055,Public,Block,NoCharger,84,181.05391,Any
100055,Public,Block,NoCharger,94,0.0,Any
100055,Residential,Block,NoCharger,421,0.0,Any
100055,Workplace,Block,NoCharger,21,0.0,Any
100073,Public,Block,NoCharger,86,259.0,Any
100073,Public,Block,NoCharger,2585,116.0,Any
100073,Residential,Block,NoCharger,334,0.0,Any
100073,Workplace,Block,NoCharger,115,0.0,Any
100452,Public,Block,NoCharger,16,0.0,Any
100452,Residential,Block,NoCharger,325,0.0,Any
100592,Public,Block,NoCharger,114,130.32253,Any
100592,Public,Block,NoCharger,312,79.46495999999999,Any
100592,Public,Block,NoCharger,283,0.0,Any
100592,Residential,Block,NoCharger,417,0.0,Any
100473,Public,Block,NoCharger,102,0.0,Any
100473,Residential,Block,NoCharger,281,0.0,Any
100051,Public,Block,NoCharger,326,299.21539,Any
100051,Public,Block,NoCharger,55,181.05391,Any
100051,Public,Block,NoCharger,29,0.0,Any
100051,Residential,Block,NoCharger,628,0.0,Any
100051,Workplace,Block,NoCharger,70,0.0,Any
100431,Public,Block,NoCharger,36,0.0,Any
100431,Public,Block,NoCharger,5,0.0,Any
100431,Residential,Block,NoCharger,312,0.0,Any
201305,Public,Block,NoCharger,1000000,0.0,Any
201305,Residential,Block,NoCharger,248,0.0,Any
201305,Workplace,Block,NoCharger,1000000,0.0,Any
100033,Public,Block,NoCharger,94,933.2415800000001,Any
100033,Residential,Block,NoCharger,351,0.0,Any
201309,Public,Block,NoCharger,1000000,0.0,Any
201309,Residential,Block,NoCharger,503,0.0,Any
201309,Workplace,Block,NoCharger,1000000,0.0,Any
100525,Public,Block,NoCharger,47,0.0,Any
100525,Public,Block,NoCharger,21,0.0,Any
100525,Residential,Block,NoCharger,505,0.0,Any
100455,Public,Block,NoCharger,32,0.0,Any
100455,Residential,Block,NoCharger,485,0.0,Any
100085,Public,Block,NoCharger,18,893.98761,Any
100085,Residential,Block,NoCharger,128,0.0,Any
100451,Residential,Block,NoCharger,343,0.0,Any
201383,Public,Block,NoCharger,1000000,0.0,Any
201383,Residential,Block,NoCharger,618,0.0,Any
201383,Workplace,Block,NoCharger,1000000,0.0,Any
100523,Public,Block,NoCharger,62,0.0,Any
100523,Public,Block,NoCharger,122,0.0,Any
100523,Residential,Block,NoCharger,543,0.0,Any
100523,Workplace,Block,NoCharger,200,0.0,Any
100564,Public,Block,NoCharger,136,117.0,Any
